Group,Source,OG_Author,Paragraph
Fiction,Harry Potter and the Sorcerer's Stone,JK Rowling,"Harry and Ron headed upstairs, smothering their laughter at Malfoy's obvious rage and confusion. ""Well, it's true,"" Harry chortled as they reached the top of the marble staircase, ""If he hadn't stolen Neville's Remembrall I wouln't be on the team...."""
Fiction,Lord of the RIngs,JRR Tolkien,"The hobbits seated themselves beside him, one on either side, with their backs to the stony wall, resting their legs. There was no need for any arrangement by word: they knew that they must not sleep for a moment. Slowly the moon went by. Shadows fell down from the hills, and all grew dark before them. The stars grew thick and bright in the sky above. No one stirred. Gollum sat with his legs drawn up, knees under chin, flat hands and feet splayed on the ground, his eyes closed; but he seemed tense, as if thinking or listening"
Fiction,Game of Thrones,GRR Martin,"It would have to be his grandfather, for Jory’s father was buried far to the south. Martyn Cassel had perished with the rest. Ned had pulled the tower down afterward, and used its bloody stones to build eight cairns upon the ridge. It was said that Rhaegar had named that place the tower of joy, but for Ned it was a bitter memory. They had been seven against three, yet only two had lived to ride away; Eddard Stark himself and the little crannogman, Howland Reed. He did not think it omened well that he should dream that dream again after so many years"
Fiction,Moby Dick,Herman Melville,"And now abating in his flurry, the whale once more rolled out into view; surging from side to side; spasmodically dilating and contracting his spout-hole, with sharp, cracking, agonized respirations. At last, gush after gush of clotted red gore, as if it had been the purple lees of red wine, shot into the frighted air; and falling back again, ran dripping down his motionless flanks into the sea. His heart had burst!"
Fiction,The Da Vinci Code,Dan Brown,"Teabing located a huge book and pulled it toward him across the table. The leather-bound edition was poster-sized, like a huge atlas. The cover read: The Gnostic Gospels. Teabing heaved it open, and Langdon and Sophie joined him. Sophie could see it contained photographs of what appeared to be magnified passages of ancient documents—tattered papyrus with handwritten text. She did not recognize the ancient language, but the facing pages bore typed translations"
Fiction,Treasure Island,Robert Louis Stecenson,"But now John put his hand into his pocket, brought out a whistle, and blew upon it several modulated blasts that rang far across the heated air. I could not tell, of course, the meaning of the signal, but it instantly awoke my fears. More men would be coming. I might be discovered. They had already slain two of the honest people; after Tom and Alan, might not I come next?"
Fiction,Pride and Prejudice,Jane Austen,"No one but Mrs. Bennet regretted that their stay would be so short; and she made the most of the time by visiting about with her daughter, and having very frequent parties at home. These parties were acceptable to all; to avoid a family circle was even more desirable to such as did think, than such as did not."
Fiction,Jane Eyre,Charlotte Bronte,"I shook my head: it required a degree of courage, excited as he was becoming, even to risk that mute sign of dissent. He had been walking fast about the room, and he stopped, as if suddenly rooted to one spot. He looked at me long and hard: I turned my eyes from him, fixed them on the fire, and tried to assume and maintain a quiet, collected aspect."
Fiction,Dracula,Bram Stoker,"In the early morning her maid came, and I left her in her care and took myself back home, for I was anxious about many things. I sent a short wire to Van Helsing and to Arthur, telling them of the excellent result of the operation. My own work, with its manifold arrears, took me all day to clear off. It was dark when I was able to inquire about my zoophagous patient. The report was good. He had been quite quiet for the past day and night. A telegram came from Van Helsing at Amsterdam whilst I was at dinner, suggesting that I should be at Hillingham tonight, as it might be well to be at hand, and stating that he was leaving by the night mail and would join me early in the morning."
Fiction,Animal Farm,George Orwell,"All orders were now issued through Squealer or one of the other pigs. Napoleon himself was not seen in public as often as once in a fortnight. When he did appear, he was attended not only by his retinue of dogs but by a black cockerel who marched in front of him and acted as a kind of trumpeter, letting out a loud ""cock-a-doodle-doo"" before Napoleon spoke. Even in the farmhouse, it was said, Napoleon inhabited separate apartments from the others. He took his meals alone, with two dogs to wait upon him, and always ate from the Crown Derby dinner service which had been in the glass cupboard in the drawing-room. It was also announced that the gun would be fired every year on Napoleon's birthday, as well as on the other two anniversaries"
